Metric,Value
total_latency_s,0.0003719715625
peak_buffer_MB,0.465576171875
avg_cache_util_MB,0.0762741370440678
total_energy_J,0.008192018877544916
average_power_W,22.023476516302186
average_power_mem_W,11.470221768650763
average_power_comp_W,9.970440617487885
average_power_net_W,0.5828141301643697
avg_mem_util,1.0
avg_comp_util,0.2432553933632236
chiplet_silicon_cost,19.666044328239813
memory_cost_2xHBLC,73.0435653465892
package_cost,380.4465418674579
package_silicon_cost,78.66417731295925
package_memory_cost,292.1742613863568
package_substrate_cost,9.60810316814184
system_cost,6105.7459576128485
system_silicon_cost,1258.626837007348
system_memory_cost,4674.788182181709
system_substrate_cost,153.72965069026944
system_pcb_cost,18.601287733522604
num_packages,16
system_compute_TOPS,5767.168
system_bandwidth_TBps,32.768
system_capacity_GB,288.0
hblc_capacity_GB,2.25
hblc_bandwidth_GBps,256
hblc_bw_per_capacity,113.77777777777777
hblc_energy_total_pJ_per_bit,2.107
hblc_energy_io_pJ_per_bit,0.25
hblc_energy_tsv_pJ_per_bit,0.962
hblc_energy_movmem_pJ_per_bit,0.7150000000000001
hblc_energy_act_pJ_per_bit,0.18
hblc_cost,36.5217826732946
hblc_cost_per_GB,16.231903410353155
model_name,llama3-8b
num_layers,32
sim_num_layers,32
batch_size,32
prefill_batch,False
prefill_chunk_size,0
prefill_cached,0
kv_cache,4096
w_dtype_B,0.5
kv_dtype_B,1.0
norm_dtype_B,0.5
sim_lm_head,False
num_chiplets,64
model_weight_capacity_GB,3.740478515625
kv_cache_capacity_per_batch_GB,0.25
total_model_capacity_GB,11.740478515625
hblc_bank_groups,2
hblc_ch_per_layer,1
hblc_ranks,3
hblc_frac_bank_cap,0.5
cores_per_cu,16
mem_buffer_size,1048576.0
net_buffer_size,262144.0
tmacs_per_core,22
